title,description,property_type,status,price,bedrooms,bathrooms,area_sqft,address,city,state,country,latitude,longitude,image_url
Sea View Villa,Beautiful villa with direct sea view and private pool,villa,active,250.00,4,3,3200.00,123 Beach Road,Cox's Bazar,Chittagong,Bangladesh,21.4272,92.0058,https://images.unsplash.com/photo-1499793983690-e29da59ef1c2?w=800&q=80
Cozy Mountain Cabin,Peaceful cabin surrounded by hills and nature,cabin,active,85.00,2,1,900.00,45 Hill Track Road,Bandarban,Chittagong,Bangladesh,22.1953,92.2184,https://images.unsplash.com/photo-1449158743715-0a90ebb6d2d8?w=800&q=80
City Center Apartment,Modern apartment in the heart of Dhaka city,apartment,active,120.00,3,2,1400.00,10 Gulshan Avenue,Dhaka,Dhaka,Bangladesh,23.7808,90.4147,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800&q=80
Lakeside Cottage,Quiet cottage next to a beautiful lake,cottage,active,95.00,2,1,1100.00,7 Lake Drive,Sylhet,Sylhet,Bangladesh,24.8949,91.8687,https://images.unsplash.com/photo-1510798831971-661eb04b3739?w=800&q=80
Luxury Penthouse,Top floor penthouse with city panorama view,apartment,active,350.00,5,4,4500.00,88 Banani Road,Dhaka,Dhaka,Bangladesh,23.7937,90.4066,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=800&q=80
Forest Hideaway Cabin,Hidden cabin deep inside the forest,cabin,active,75.00,1,1,700.00,12 Forest Lane,Rangamati,Chittagong,Bangladesh,22.6430,92.1990,https://images.unsplash.com/photo-1542718610-a1d656d1884c?w=800&q=80
Beachfront Studio,Small cozy studio right on the beach,studio,active,60.00,1,1,500.00,55 Marine Drive,Cox's Bazar,Chittagong,Bangladesh,21.4536,92.0172,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800&q=80
Heritage Haveli House,Old style heritage house with large garden,house,active,180.00,6,4,5000.00,3 Old Town Street,Panam Nagar,Dhaka,Bangladesh,23.6273,90.5590,https://images.unsplash.com/photo-1568605114967-8130f3a36994?w=800&q=80
Modern Condo Downtown,Fully furnished condo near shopping mall,condo,active,140.00,2,2,1200.00,22 Mirpur Road,Dhaka,Dhaka,Bangladesh,23.8041,90.3666,https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=800&q=80
Riverside Bungalow,Lovely bungalow sitting right by the river,house,active,110.00,3,2,1800.00,9 River Bank Road,Barisal,Barisal,Bangladesh,22.7010,90.3535,https://images.unsplash.com/photo-1416331108676-a22ccb276e35?w=800&q=80
Hilltop Villa,Stunning villa on top of a green hill,villa,active,220.00,4,3,2800.00,1 Hilltop View,Khagrachhari,Chittagong,Bangladesh,23.1193,91.9847,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=800&q=80
Budget Studio Flat,Clean and affordable studio for solo travelers,studio,active,40.00,1,1,400.00,67 New Market Area,Chittagong,Chittagong,Bangladesh,22.3569,91.7832,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=800&q=80
Family Villa Sylhet,Spacious family villa with garden and BBQ area,villa,active,195.00,5,3,3500.00,14 Tea Garden Road,Sylhet,Sylhet,Bangladesh,24.9045,91.8611,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=800&q=80
Eco Bamboo House,Eco friendly bamboo house inside green forest,house,active,70.00,2,1,800.00,30 Eco Park Road,Srimangal,Sylhet,Bangladesh,24.3063,91.7317,https://images.unsplash.com/photo-1587061949409-02df41d5e562?w=800&q=80
Luxury Beach Resort Room,Premium room inside a luxury beach resort,other,active,300.00,2,2,1600.00,100 Resort Boulevard,Cox's Bazar,Chittagong,Bangladesh,21.4125,92.0523,https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800&q=80